timestamp,region,order_volume,aov,gmv,delivery_sla_breach_rate,gross_margin_usd,status
2026-08-14T00:00:00,Southwest_Dallas,943,33.28,31384.47,5.53,8944.57,NORMAL
2026-08-14T01:00:00,Southwest_Dallas,960,34.11,32747.39,6.4,9333.01,NORMAL
2026-08-14T02:00:00,Southwest_Dallas,858,34.07,29230.18,5.97,8330.6,NORMAL
2026-08-14T03:00:00,Southwest_Dallas,877,34.67,30401.81,3.18,8664.51,NORMAL
2026-08-14T04:00:00,Southwest_Dallas,1025,33.45,34284.54,5.08,9771.09,NORMAL
2026-08-14T05:00:00,Southwest_Dallas,1084,33.31,36103.78,5.39,10289.58,NORMAL
2026-08-14T06:00:00,Southwest_Dallas,1221,35.95,43897.39,4.27,12510.76,NORMAL
2026-08-14T07:00:00,Southwest_Dallas,1343,35.02,47030.7,4.11,13403.75,NORMAL
2026-08-14T08:00:00,Southwest_Dallas,1547,34.62,53550.2,4.76,15261.81,NORMAL
2026-08-14T09:00:00,Southwest_Dallas,1633,35.33,57698.75,6.0,16444.14,NORMAL
2026-08-14T10:00:00,Southwest_Dallas,1817,34.51,62706.77,3.98,17871.43,NORMAL
2026-08-14T11:00:00,Southwest_Dallas,1957,34.26,67045.47,5.6,19107.96,NORMAL
2026-08-14T12:00:00,Southwest_Dallas,2033,35.19,71539.9,4.06,20388.87,NORMAL
2026-08-14T13:00:00,Southwest_Dallas,2061,35.02,72176.81,4.91,20570.39,NORMAL
2026-08-14T14:00:00,Southwest_Dallas,2070,35.05,72561.25,3.6,20679.96,NORMAL
2026-08-14T15:00:00,Southwest_Dallas,2062,35.8,73826.85,3.68,21040.65,NORMAL
2026-08-14T16:00:00,Southwest_Dallas,2002,35.95,71980.03,5.02,20514.31,NORMAL
2026-08-14T17:00:00,Southwest_Dallas,1903,34.13,64941.08,3.88,18508.21,NORMAL
2026-08-14T18:00:00,Southwest_Dallas,1824,35.36,64497.22,3.77,18381.71,NORMAL
2026-08-14T19:00:00,Southwest_Dallas,1619,33.15,53672.54,5.38,15296.67,NORMAL
2026-08-14T20:00:00,Southwest_Dallas,1545,35.0,54081.88,3.87,15413.34,NORMAL
2026-08-14T21:00:00,Southwest_Dallas,1346,35.42,47680.17,3.82,13588.85,NORMAL
2026-08-14T22:00:00,Southwest_Dallas,1154,34.35,39636.77,5.65,11296.48,NORMAL
2026-08-14T23:00:00,Southwest_Dallas,1110,34.89,38724.84,6.44,11036.58,NORMAL
2026-08-15T00:00:00,Southwest_Dallas,935,33.77,31575.3,4.76,8998.96,NORMAL
2026-08-15T01:00:00,Southwest_Dallas,947,33.33,31562.15,4.29,8995.21,NORMAL
2026-08-15T02:00:00,Southwest_Dallas,897,35.2,31573.53,4.29,8998.46,NORMAL
2026-08-15T03:00:00,Southwest_Dallas,936,35.64,33360.06,3.63,9507.62,NORMAL
2026-08-15T04:00:00,Southwest_Dallas,992,33.35,33085.86,4.17,9429.47,NORMAL
2026-08-15T05:00:00,Southwest_Dallas,1086,33.21,36068.06,5.0,10279.4,NORMAL
2026-08-15T06:00:00,Southwest_Dallas,1249,34.46,43041.12,5.79,12266.72,NORMAL
2026-08-15T07:00:00,Southwest_Dallas,1328,35.53,47186.39,4.98,13448.12,NORMAL
2026-08-15T08:00:00,Southwest_Dallas,1498,34.83,52172.71,4.59,14869.22,NORMAL
2026-08-15T09:00:00,Southwest_Dallas,1638,34.34,56256.05,4.73,16032.97,NORMAL
2026-08-15T10:00:00,Southwest_Dallas,1751,33.46,58596.43,5.86,16699.98,NORMAL
2026-08-15T11:00:00,Southwest_Dallas,1910,34.84,66547.35,3.86,18965.99,NORMAL
2026-08-15T12:00:00,Southwest_Dallas,2017,34.98,70556.26,5.17,20108.53,NORMAL
2026-08-15T13:00:00,Southwest_Dallas,2032,33.74,68552.74,3.14,19537.53,NORMAL
2026-08-15T14:00:00,Southwest_Dallas,2110,35.29,74467.4,3.58,21223.21,NORMAL
2026-08-15T15:00:00,Southwest_Dallas,2056,34.11,70134.16,5.2,19988.24,NORMAL
2026-08-15T16:00:00,Southwest_Dallas,1986,34.05,67628.63,5.36,19274.16,NORMAL
2026-08-15T17:00:00,Southwest_Dallas,1973,34.42,67913.83,3.54,19355.44,NORMAL
2026-08-15T18:00:00,Southwest_Dallas,1765,34.87,61546.69,3.73,17540.81,NORMAL
2026-08-15T19:00:00,Southwest_Dallas,1606,35.65,57254.4,3.49,16317.5,NORMAL
2026-08-15T20:00:00,Southwest_Dallas,1473,35.37,52103.06,4.14,14849.37,NORMAL
2026-08-15T21:00:00,Southwest_Dallas,1367,33.11,45260.11,4.4,12899.13,NORMAL
2026-08-15T22:00:00,Southwest_Dallas,1222,35.16,42961.16,6.25,12243.93,NORMAL
2026-08-15T23:00:00,Southwest_Dallas,1077,35.95,38717.21,4.93,11034.41,NORMAL
2026-08-16T00:00:00,Southwest_Dallas,657,33.64,22102.9,5.0,6299.33,NORMAL
2026-08-16T01:00:00,Southwest_Dallas,623,33.5,20869.34,6.27,5947.76,NORMAL
2026-08-16T02:00:00,Southwest_Dallas,556,33.08,18390.02,4.71,5241.16,NORMAL
2026-08-16T03:00:00,Southwest_Dallas,608,35.83,21783.09,6.04,6208.18,NORMAL
2026-08-16T04:00:00,Southwest_Dallas,682,34.98,23855.63,6.43,6798.85,NORMAL
2026-08-16T05:00:00,Southwest_Dallas,751,33.72,25322.81,5.57,7217.0,NORMAL
2026-08-16T06:00:00,Southwest_Dallas,943,35.4,33379.76,3.29,9513.23,NORMAL
2026-08-16T07:00:00,Southwest_Dallas,1048,35.89,37610.63,5.4,10719.03,NORMAL
2026-08-16T08:00:00,Southwest_Dallas,1170,35.11,41075.47,5.96,11706.51,NORMAL
2026-08-16T09:00:00,Southwest_Dallas,1375,35.69,49072.1,4.38,13985.55,NORMAL
2026-08-16T10:00:00,Southwest_Dallas,1472,34.68,51055.01,3.59,14550.68,NORMAL
2026-08-16T11:00:00,Southwest_Dallas,1663,33.91,56400.45,4.33,16074.13,NORMAL
2026-08-16T12:00:00,Southwest_Dallas,1713,35.42,60667.65,5.85,17290.28,NORMAL
2026-08-16T13:00:00,Southwest_Dallas,1777,33.01,58655.31,3.98,16716.76,NORMAL
2026-08-16T14:00:00,Southwest_Dallas,1808,33.91,61303.05,5.89,17471.37,NORMAL
2026-08-16T15:00:00,Southwest_Dallas,1747,33.93,59273.05,6.33,16892.82,NORMAL
2026-08-16T16:00:00,Southwest_Dallas,1715,34.45,59081.08,4.38,16838.11,NORMAL
2026-08-16T17:00:00,Southwest_Dallas,1601,33.45,53553.45,4.89,15262.73,NORMAL
2026-08-16T18:00:00,Southwest_Dallas,1473,34.54,50881.24,3.38,14501.15,NORMAL
2026-08-16T19:00:00,Southwest_Dallas,1345,35.36,47555.19,5.05,13553.23,NORMAL
2026-08-16T20:00:00,Southwest_Dallas,1173,35.08,41147.87,6.47,11727.14,NORMAL
2026-08-16T21:00:00,Southwest_Dallas,1008,35.3,35585.7,3.74,10141.93,NORMAL
2026-08-16T22:00:00,Southwest_Dallas,872,35.62,31059.81,3.54,8852.05,NORMAL
2026-08-16T23:00:00,Southwest_Dallas,799,34.97,27942.55,4.14,7963.63,NORMAL
2026-08-17T00:00:00,Southwest_Dallas,665,33.6,22344.61,4.27,6368.21,NORMAL
2026-08-17T01:00:00,Southwest_Dallas,633,35.54,22496.29,5.67,6411.44,NORMAL
2026-08-17T02:00:00,Southwest_Dallas,623,35.02,21819.11,3.31,6218.45,NORMAL
2026-08-17T03:00:00,Southwest_Dallas,647,34.49,22317.05,4.24,6360.36,NORMAL
2026-08-17T04:00:00,Southwest_Dallas,681,33.35,22710.57,5.64,6472.51,NORMAL
2026-08-17T05:00:00,Southwest_Dallas,768,33.56,25770.45,4.49,7344.58,NORMAL
